Zip,Estimate; RACE - Total population,Margin of Error; RACE - Total population,Percent; RACE - Total population,Percent Margin of Error; RACE - Total population,Estimate; RACE - One race - White,Margin of Error; RACE - One race - White,Percent; RACE - One race - White,Percent Margin of Error; RACE - One race - White,Estimate; RACE - One race - Black or African American,Margin of Error; RACE - One race - Black or African American,Percent; RACE - One race - Black or African American,Percent Margin of Error; RACE - One race - Black or African American,Estimate; RACE - One race - American Indian and Alaska Native,Margin of Error; RACE - One race - American Indian and Alaska Native,Percent; RACE - One race - American Indian and Alaska Native,Percent Margin of Error; RACE - One race - American Indian and Alaska Native,Estimate; RACE - One race - Asian,Margin of Error; RACE - One race - Asian,Percent; RACE - One race - Asian,Percent Margin of Error; RACE - One race - Asian,Estimate; RACE - One race - Native Hawaiian and Other Pacific Islander,Margin of Error; RACE - One race - Native Hawaiian and Other Pacific Islander,Percent; RACE - One race - Native Hawaiian and Other Pacific Islander,Percent Margin of Error; RACE - One race - Native Hawaiian and Other Pacific Islander,Estimate; RACE - One race - Some other race,Margin of Error; RACE - One race - Some other race,Percent; RACE - One race - Some other race,Percent Margin of Error; RACE - One race - Some other race,Estimate; RACE - Two or more races,Margin of Error; RACE - Two or more races,Percent; RACE - Two or more races,Percent Margin of Error; RACE - Two or more races
37135,9377,516,9377,(X),8065,510,86,3.9,610,334,6.5,3.5,0,17,0,0.4,558,250,6,2.6,0,17,0,0.4,14,19,0.1,0.2,130,89,1.4,0.9
37138,21408,1017,21408,(X),19072,1190,89.1,2.6,1481,325,6.9,1.6,31,45,0.1,0.2,240,116,1.1,0.5,0,23,0,0.2,352,358,1.6,1.7,232,134,1.1,0.6
37143,3925,539,3925,(X),3838,545,97.8,1.4,87,54,2.2,1.4,0,12,0,0.9,0,12,0,0.9,0,12,0,0.9,0,12,0,0.9,0,12,0,0.9
37189,3299,606,3299,(X),1853,436,56.2,9.1,1178,402,35.7,10,13,26,0.4,0.8,106,79,3.2,2.4,0,12,0,1.1,30,62,0.9,1.8,119,114,3.6,3.3
37201,1784,316,1784,(X),970,162,54.4,7.7,723,214,40.5,6.9,18,34,1,1.9,0,12,0,1.9,0,12,0,1.9,31,41,1.7,2.2,42,37,2.4,2.2
37203,11171,768,11171,(X),5581,567,50,4.3,4471,532,40,3.9,0,19,0,0.3,891,355,8,3,0,19,0,0.3,39,49,0.3,0.4,189,92,1.7,0.8
37204,12826,827,12826,(X),9632,739,75.1,3,2492,361,19.4,2.6,30,35,0.2,0.3,245,129,1.9,1,0,19,0,0.3,164,133,1.3,1,263,112,2.1,0.9
37205,23605,846,23605,(X),21616,818,91.6,2.2,776,375,3.3,1.6,90,84,0.4,0.4,735,248,3.1,1,0,23,0,0.1,68,56,0.3,0.2,320,182,1.4,0.8
37206,25264,1212,25264,(X),14261,908,56.4,2.7,9872,898,39.1,2.8,238,231,0.9,0.9,153,75,0.6,0.3,0,23,0,0.1,189,136,0.7,0.5,551,210,2.2,0.8
37207,32896,1310,32896,(X),7596,747,23.1,2,23418,1174,71.2,2.3,103,80,0.3,0.2,198,135,0.6,0.4,0,26,0,0.1,1067,396,3.2,1.2,514,306,1.6,0.9
37208,15593,1125,15593,(X),2003,381,12.8,2.2,13355,1022,85.6,2.3,14,27,0.1,0.2,60,46,0.4,0.3,0,19,0,0.2,15,16,0.1,0.1,146,74,0.9,0.5
37209,36480,1538,36480,(X),21139,1294,57.9,2.6,11004,1052,30.2,2.5,11,17,0,0.1,2722,474,7.5,1.3,18,22,0,0.1,750,452,2.1,1.2,836,261,2.3,0.7
37210,15337,1025,15337,(X),8077,951,52.7,5.1,4926,713,32.1,4.3,40,40,0.3,0.3,550,219,3.6,1.4,0,19,0,0.2,1375,590,9,3.7,369,172,2.4,1.1
37211,75621,1888,75621,(X),49736,1936,65.8,2.2,13332,1039,17.6,1.3,75,117,0.1,0.2,3966,885,5.2,1.2,0,29,0,0.1,6656,1243,8.8,1.6,1856,424,2.5,0.6
37212,18961,1044,18961,(X),14006,745,73.9,2.4,2860,423,15.1,1.9,11,23,0.1,0.1,1387,318,7.3,1.6,0,19,0,0.2,175,127,0.9,0.7,522,178,2.8,0.9
37213,185,127,185,(X),95,58,51.4,34,89,105,48.1,34.1,0,12,0,17.2,0,12,0,17.2,0,12,0,17.2,0,12,0,17.2,1,3,0.5,1.8
37214,29668,1024,29668,(X),23357,1042,78.7,2.8,3678,672,12.4,2.2,286,265,1,0.9,1152,350,3.9,1.2,9,22,0,0.1,507,336,1.7,1.1,679,285,2.3,1
37215,22224,865,22224,(X),20853,874,93.8,1.7,536,240,2.4,1.1,19,27,0.1,0.1,466,246,2.1,1.1,0,23,0,0.2,98,91,0.4,0.4,252,132,1.1,0.6
37216,18078,793,18078,(X),10429,652,57.7,3.8,6003,835,33.2,3.9,26,28,0.1,0.2,182,198,1,1.1,32,43,0.2,0.2,953,391,5.3,2.1,453,225,2.5,1.3
37217,28758,1489,28758,(X),16963,1135,59,3.9,8152,1262,28.3,3.7,0,23,0,0.1,793,388,2.8,1.3,0,23,0,0.1,1999,667,7,2.3,851,255,3,0.9
37218,14464,760,14464,(X),3031,474,21,3,11095,694,76.7,2.9,15,18,0.1,0.1,113,102,0.8,0.7,0,19,0,0.2,143,125,1,0.9,67,54,0.5,0.4
37219,1078,242,1078,(X),797,193,73.9,11.7,122,96,11.3,8.2,0,12,0,3.2,142,129,13.2,11.1,0,12,0,3.2,0,12,0,3.2,17,25,1.6,2.3
37220,5876,424,5876,(X),5626,415,95.7,2.6,117,106,2,1.8,8,14,0.1,0.2,125,146,2.1,2.5,0,17,0,0.6,0,17,0,0.6,0,17,0,0.6
37221,37582,1241,37582,(X),33489,1198,89.1,1.9,1792,411,4.8,1.1,44,60,0.1,0.2,1487,432,4,1.1,0,26,0,0.1,373,317,1,0.8,397,162,1.1,0.4
37228,1570,437,1570,(X),325,199,20.7,11.3,1196,392,76.2,12.5,0,12,0,2.2,0,12,0,2.2,0,12,0,2.2,14,22,0.9,1.4,35,32,2.2,1.9
37240,684,170,684,(X),438,198,64,17.2,152,75,22.2,13,0,12,0,5,72,63,10.5,9.4,0,12,0,5,0,12,0,5,22,23,3.2,3.5
37243,0,12,0,(X),0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**
37246,0,12,0,(X),0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**
