Zip,Estimate; RACE - Total population,Margin of Error; RACE - Total population,Percent; RACE - Total population,Percent Margin of Error; RACE - Total population,Estimate; RACE - One race - White,Margin of Error; RACE - One race - White,Percent; RACE - One race - White,Percent Margin of Error; RACE - One race - White,Estimate; RACE - One race - Black or African American,Margin of Error; RACE - One race - Black or African American,Percent; RACE - One race - Black or African American,Percent Margin of Error; RACE - One race - Black or African American,Estimate; RACE - One race - American Indian and Alaska Native,Margin of Error; RACE - One race - American Indian and Alaska Native,Percent; RACE - One race - American Indian and Alaska Native,Percent Margin of Error; RACE - One race - American Indian and Alaska Native,Estimate; RACE - One race - Asian,Margin of Error; RACE - One race - Asian,Percent; RACE - One race - Asian,Percent Margin of Error; RACE - One race - Asian,Estimate; RACE - One race - Native Hawaiian and Other Pacific Islander,Margin of Error; RACE - One race - Native Hawaiian and Other Pacific Islander,Percent; RACE - One race - Native Hawaiian and Other Pacific Islander,Percent Margin of Error; RACE - One race - Native Hawaiian and Other Pacific Islander,Estimate; RACE - One race - Some other race,Margin of Error; RACE - One race - Some other race,Percent; RACE - One race - Some other race,Percent Margin of Error; RACE - One race - Some other race,Estimate; RACE - Two or more races,Margin of Error; RACE - Two or more races,Percent; RACE - Two or more races,Percent Margin of Error; RACE - Two or more races
37207,34257,1453,34257,(X),7632,836,22.3,2.2,24126,1243,70.4,2.2,113,87,0.3,0.3,504,277,1.5,0.8,0,26,0,0.1,1209,547,3.5,1.6,673,269,2,0.8
37208,17117,1192,17117,(X),2676,417,15.6,2.3,13958,1055,81.5,2.6,20,25,0.1,0.1,89,53,0.5,0.3,0,19,0,0.2,63,53,0.4,0.3,311,260,1.8,1.5
37209,36053,1574,36053,(X),21388,1354,59.3,2.9,9501,933,26.4,2.5,115,83,0.3,0.2,2641,643,7.3,1.7,27,26,0.1,0.1,1575,680,4.4,1.8,806,255,2.2,0.7
37210,15485,681,15485,(X),8348,643,53.9,3.7,5380,506,34.7,2.8,76,62,0.5,0.4,260,190,1.7,1.2,0,19,0,0.2,902,375,5.8,2.4,519,245,3.4,1.6
37211,77993,1967,77993,(X),49428,1736,63.4,1.8,13210,918,16.9,1.2,86,61,0.1,0.1,4379,787,5.6,1,62,45,0.1,0.1,8405,1505,10.8,1.8,2423,606,3.1,0.8
37212,19758,862,19758,(X),14812,816,75,2.6,2755,411,13.9,1.9,5,10,0,0.1,1459,322,7.4,1.6,0,19,0,0.2,108,85,0.5,0.4,619,166,3.1,0.8
37213,154,120,154,(X),74,99,48.1,41.2,79,58,51.3,41.2,0,12,0,20.2,0,12,0,20.2,0,12,0,20.2,0,12,0,20.2,1,3,0.6,1.7
37214,29711,955,29711,(X),23766,1036,80,2.6,3919,670,13.2,2.2,192,195,0.6,0.7,607,296,2,1,31,48,0.1,0.2,522,300,1.8,1,674,273,2.3,0.9
37215,21374,706,21374,(X),20124,835,94.2,2,497,308,2.3,1.4,62,56,0.3,0.3,343,148,1.6,0.7,0,23,0,0.2,110,94,0.5,0.4,238,142,1.1,0.7
37216,18743,734,18743,(X),11270,644,60.1,3.3,5742,684,30.6,3.2,51,53,0.3,0.3,146,151,0.8,0.8,39,39,0.2,0.2,917,390,4.9,2.1,578,204,3.1,1.1
37217,28928,1415,28928,(X),16215,998,56.1,3.3,8766,1158,30.3,3.3,0,23,0,0.1,921,406,3.2,1.4,0,23,0,0.1,2144,639,7.4,2.1,882,262,3,0.9
37218,14804,916,14804,(X),3301,578,22.3,3.6,11223,849,75.8,3.8,20,25,0.1,0.2,121,97,0.8,0.6,0,19,0,0.2,11,19,0.1,0.1,128,116,0.9,0.8
37219,1142,258,1142,(X),870,229,76.2,9.5,123,97,10.8,7.9,0,12,0,3,67,56,5.9,4.9,32,47,2.8,4.1,0,12,0,3,50,48,4.4,4.2
37220,5774,466,5774,(X),5560,455,96.3,2.6,80,88,1.4,1.5,14,22,0.2,0.4,69,110,1.2,1.9,0,17,0,0.6,15,22,0.3,0.4,36,55,0.6,1
37221,39195,1354,39195,(X),33954,1238,86.6,2.4,2797,783,7.1,1.9,16,19,0,0.1,1632,421,4.2,1.1,0,26,0,0.1,331,297,0.8,0.8,465,206,1.2,0.5
37228,1254,313,1254,(X),327,172,26.1,13.3,835,292,66.6,14.3,0,12,0,2.7,0,12,0,2.7,0,12,0,2.7,16,22,1.3,1.7,76,92,6.1,7.1
37240,602,124,602,(X),421,120,69.9,15.9,103,82,17.1,13.9,0,12,0,5.6,59,62,9.8,9.5,0,12,0,5.6,0,12,0,5.6,19,20,3.2,3
37243,0,12,0,(X),0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**
37246,0,12,0,(X),0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**
