Zip,Estimate; RACE - Total population,Margin of Error; RACE - Total population,Percent; RACE - Total population,Percent Margin of Error; RACE - Total population,Estimate; RACE - One race - White,Margin of Error; RACE - One race - White,Percent; RACE - One race - White,Percent Margin of Error; RACE - One race - White,Estimate; RACE - One race - Black or African American,Margin of Error; RACE - One race - Black or African American,Percent; RACE - One race - Black or African American,Percent Margin of Error; RACE - One race - Black or African American,Estimate; RACE - One race - American Indian and Alaska Native,Margin of Error; RACE - One race - American Indian and Alaska Native,Percent; RACE - One race - American Indian and Alaska Native,Percent Margin of Error; RACE - One race - American Indian and Alaska Native,Estimate; RACE - One race - Asian,Margin of Error; RACE - One race - Asian,Percent; RACE - One race - Asian,Percent Margin of Error; RACE - One race - Asian,Estimate; RACE - One race - Native Hawaiian and Other Pacific Islander,Margin of Error; RACE - One race - Native Hawaiian and Other Pacific Islander,Percent; RACE - One race - Native Hawaiian and Other Pacific Islander,Percent Margin of Error; RACE - One race - Native Hawaiian and Other Pacific Islander,Estimate; RACE - One race - Some other race,Margin of Error; RACE - One race - Some other race,Percent; RACE - One race - Some other race,Percent Margin of Error; RACE - One race - Some other race,Estimate; RACE - Two or more races,Margin of Error; RACE - Two or more races,Percent; RACE - Two or more races,Percent Margin of Error; RACE - Two or more races
37013,86261,2326,86261,(X),39688,2108,46,2.1,32839,1715,38.1,1.7,509,245,0.6,0.3,2929,692,3.4,0.8,68,99,0.1,0.1,7273,1170,8.4,1.3,2955,636,3.4,0.7
37015,17846,993,17846,(X),16575,1059,92.9,1.7,457,154,2.6,0.9,32,39,0.2,0.2,136,69,0.8,0.4,0,19,0,0.2,393,234,2.2,1.3,253,71,1.4,0.4
37027,51818,862,51818,(X),45861,1073,88.5,1.3,2059,502,4,1,66,65,0.1,0.1,2575,427,5,0.8,14,23,0,0.1,104,73,0.2,0.1,1139,440,2.2,0.8
37064,52247,1097,52247,(X),46550,1056,89.1,1.2,3112,465,6,0.9,52,46,0.1,0.1,872,258,1.7,0.5,0,29,0,0.1,933,423,1.8,0.8,728,255,1.4,0.5
37072,31058,808,31058,(X),25651,1125,82.6,2.3,3692,495,11.9,1.6,211,212,0.7,0.7,492,284,1.6,0.9,0,26,0,0.1,460,276,1.5,0.9,552,265,1.8,0.9
37076,37971,1360,37971,(X),27869,1460,73.4,2.9,7160,793,18.9,2.1,29,33,0.1,0.1,1230,436,3.2,1.1,52,63,0.1,0.2,867,545,2.3,1.4,764,289,2,0.8
37080,7785,756,7785,(X),7314,756,93.9,3.3,363,260,4.7,3.3,0,17,0,0.4,9,16,0.1,0.2,0,17,0,0.4,15,19,0.2,0.2,84,63,1.1,0.8
37086,32634,362,32634,(X),23918,990,73.3,3.1,6657,709,20.4,2.1,279,420,0.9,1.3,576,335,1.8,1,10,13,0,0.1,469,227,1.4,0.7,725,282,2.2,0.9
37115,37941,1700,37941,(X),20836,1356,54.9,3.4,13089,1119,34.5,2.5,52,46,0.1,0.1,396,277,1,0.7,0,26,0,0.1,2951,1102,7.8,2.8,617,228,1.6,0.6
37122,49446,1135,49446,(X),44587,1191,90.2,1,2673,440,5.4,0.9,100,91,0.2,0.2,918,231,1.9,0.5,3,5,0,0.1,262,185,0.5,0.4,903,228,1.8,0.5
37135,9999,625,9999,(X),8118,649,81.2,5,947,414,9.5,4,0,17,0,0.3,744,316,7.4,3.1,0,17,0,0.3,13,20,0.1,0.2,177,108,1.8,1
37138,22356,763,22356,(X),19690,798,88.1,1.6,1877,324,8.4,1.4,62,61,0.3,0.3,206,116,0.9,0.5,12,19,0.1,0.1,258,239,1.2,1.1,251,140,1.1,0.6
37143,3827,470,3827,(X),3746,472,97.9,1.3,59,39,1.5,1.1,0,12,0,0.9,8,13,0.2,0.3,0,12,0,0.9,0,12,0,0.9,14,17,0.4,0.4
37189,3214,573,3214,(X),2065,452,64.3,7.2,960,266,29.9,7.3,0,12,0,1.1,27,36,0.8,1.1,14,19,0.4,0.6,28,43,0.9,1.3,120,157,3.7,4.8
37201,1896,313,1896,(X),1024,176,54,6.9,716,158,37.8,5.5,7,13,0.4,0.7,11,13,0.6,0.7,0,12,0,1.8,51,59,2.7,3,87,65,4.6,3
37203,11767,838,11767,(X),5922,548,50.3,3.4,4702,600,40,3.7,0,19,0,0.3,859,305,7.3,2.6,3,5,0,0.1,71,57,0.6,0.5,210,95,1.8,0.8
37204,12599,863,12599,(X),9985,751,79.3,2.9,2074,333,16.5,2.5,21,20,0.2,0.2,190,117,1.5,0.9,0,19,0,0.3,118,101,0.9,0.8,211,106,1.7,0.8
37205,24011,969,24011,(X),22230,856,92.6,1.8,709,340,3,1.4,56,56,0.2,0.2,475,192,2,0.8,0,23,0,0.1,244,214,1,0.9,297,134,1.2,0.5
37206,26223,1076,26223,(X),15593,823,59.5,2.7,9215,973,35.1,3,167,170,0.6,0.7,110,60,0.4,0.2,0,23,0,0.1,333,238,1.3,0.9,805,253,3.1,1
